scope,clf,method,alpha,nominal,coverage,mean_set_size
within:hd,rf,aps,0.2,0.8,1.0,2.0
within:hd,knn,lac,0.05,0.95,1.0,2.0
within:hd,knn,lac,0.1,0.9,1.0,2.0
within:hd,knn,lac,0.2,0.8,0.803669,1.001126
within:hd,knn,aps,0.05,0.95,0.999839,1.999356
within:hd,knn,aps,0.1,0.9,0.999839,1.999356
within:hd,knn,aps,0.2,0.8,0.999839,1.999356
within:hd,svm,lac,0.05,0.95,0.923721,1.096395
within:hd,svm,lac,0.1,0.9,0.886868,1.046186
within:hd,svm,lac,0.2,0.8,0.847602,1.0
within:hd,svm,aps,0.05,0.95,0.984873,1.92887
within:hd,svm,aps,0.1,0.9,0.889926,1.829417
within:hd,svm,aps,0.2,0.8,0.847602,1.0
within:hd,dt,lac,0.05,0.95,0.918088,1.918088
within:hd,dt,lac,0.1,0.9,0.918088,1.0
within:hd,dt,lac,0.2,0.8,0.918088,1.0
within:hd,dt,aps,0.05,0.95,1.0,2.0
within:hd,dt,aps,0.1,0.9,1.0,2.0
within:hd,dt,aps,0.2,0.8,1.0,2.0
within:hd,qda,lac,0.05,0.95,0.934825,1.445124
within:hd,qda,lac,0.1,0.9,0.886386,1.301738
within:hd,qda,lac,0.2,0.8,0.798037,1.016736
within:hd,qda,aps,0.05,0.95,0.989701,1.970068
within:hd,qda,aps,0.1,0.9,0.989701,1.970068
within:hd,qda,aps,0.2,0.8,0.989701,1.970068
within:hd,xgb,lac,0.05,0.95,0.959768,1.0
within:hd,xgb,lac,0.1,0.9,0.959768,1.0
within:hd,xgb,lac,0.2,0.8,0.959768,1.0
within:hd,xgb,aps,0.05,0.95,0.959768,1.0
within:hd,xgb,aps,0.1,0.9,0.959768,1.0
within:hd,xgb,aps,0.2,0.8,0.959768,1.0
within:hd,lgbm,lac,0.05,0.95,0.918088,1.370293
within:hd,lgbm,lac,0.1,0.9,0.918088,1.0
within:hd,lgbm,lac,0.2,0.8,0.918088,1.0
within:hd,lgbm,aps,0.05,0.95,0.918088,1.918088
within:hd,lgbm,aps,0.1,0.9,0.918088,1.0
within:hd,lgbm,aps,0.2,0.8,0.918088,1.0
within:als,rf,lac,0.05,0.95,0.939085,1.208106
within:als,rf,lac,0.1,0.9,0.909457,1.0
within:als,rf,lac,0.2,0.8,0.909457,1.0
within:als,rf,aps,0.05,0.95,0.980801,1.952121
within:als,rf,aps,0.1,0.9,0.980801,1.952121
within:als,rf,aps,0.2,0.8,0.980801,1.952121
within:als,knn,lac,0.05,0.95,0.952595,1.0
within:als,knn,lac,0.1,0.9,0.952595,1.0
within:als,knn,lac,0.2,0.8,0.952595,1.0
within:als,knn,aps,0.05,0.95,0.999052,1.997393
within:als,knn,aps,0.1,0.9,0.999052,1.997393
within:als,knn,aps,0.2,0.8,0.999052,1.997393
within:als,svm,lac,0.05,0.95,0.98009,1.0
within:als,svm,lac,0.1,0.9,0.98009,1.0
within:als,svm,lac,0.2,0.8,0.98009,1.0
within:als,svm,aps,0.05,0.95,0.98009,1.0
within:als,svm,aps,0.1,0.9,0.98009,1.0
within:als,svm,aps,0.2,0.8,0.98009,1.0
within:als,dt,lac,0.05,0.95,1.0,2.0
within:als,dt,lac,0.1,0.9,1.0,2.0
within:als,dt,lac,0.2,0.8,1.0,2.0
within:als,dt,aps,0.05,0.95,1.0,1.973453
within:als,dt,aps,0.1,0.9,1.0,1.973453
within:als,dt,aps,0.2,0.8,1.0,1.973453
within:als,qda,lac,0.05,0.95,0.953543,1.0
within:als,qda,lac,0.1,0.9,0.953543,1.0
within:als,qda,lac,0.2,0.8,0.953543,1.0
within:als,qda,aps,0.05,0.95,0.999052,1.959943
within:als,qda,aps,0.1,0.9,0.999052,1.959943
within:als,qda,aps,0.2,0.8,0.999052,1.853283
within:als,xgb,lac,0.05,0.95,0.945011,1.191278
within:als,xgb,lac,0.1,0.9,0.883622,1.118749
within:als,xgb,lac,0.2,0.8,0.869637,1.0
within:als,xgb,aps,0.05,0.95,0.98886,1.775539
within:als,xgb,aps,0.1,0.9,0.891918,1.671012
within:als,xgb,aps,0.2,0.8,0.869637,1.0
within:als,lgbm,lac,0.05,0.95,0.908272,1.235127
within:als,lgbm,lac,0.1,0.9,0.897132,1.211187
within:als,lgbm,lac,0.2,0.8,0.785494,1.011614
within:als,lgbm,aps,0.05,0.95,1.0,2.0
within:als,lgbm,aps,0.1,0.9,1.0,2.0
within:als,lgbm,aps,0.2,0.8,0.809671,1.793079
cross:pd_to_hd,rf,lac,0.05,0.95,0.850457,1.0
cross:pd_to_hd,rf,lac,0.1,0.9,0.850457,1.0
cross:pd_to_hd,rf,lac,0.2,0.8,0.850457,1.0
cross:pd_to_hd,rf,aps,0.05,0.95,0.999837,1.999348
cross:pd_to_hd,rf,aps,0.1,0.9,0.999837,1.999348
cross:pd_to_hd,rf,aps,0.2,0.8,0.999837,1.999348
cross:pd_to_hd,knn,lac,0.05,0.95,0.848826,1.0
cross:pd_to_hd,knn,lac,0.1,0.9,0.848826,1.0
cross:pd_to_hd,knn,lac,0.2,0.8,0.848826,1.0
cross:pd_to_hd,knn,aps,0.05,0.95,1.0,2.0
cross:pd_to_hd,knn,aps,0.1,0.9,1.0,2.0
cross:pd_to_hd,knn,aps,0.2,0.8,1.0,2.0
cross:pd_to_hd,svm,lac,0.05,0.95,0.814742,1.0
cross:pd_to_hd,svm,lac,0.1,0.9,0.814742,1.0
cross:pd_to_hd,svm,lac,0.2,0.8,0.814742,1.0
cross:pd_to_hd,svm,aps,0.05,0.95,0.814742,1.0
cross:pd_to_hd,svm,aps,0.1,0.9,0.814742,1.0
cross:pd_to_hd,svm,aps,0.2,0.8,0.814742,1.0
cross:pd_to_hd,dt,lac,0.05,0.95,0.849804,1.0
cross:pd_to_hd,dt,lac,0.1,0.9,0.849804,1.0
cross:pd_to_hd,dt,lac,0.2,0.8,0.849804,1.0
cross:pd_to_hd,dt,aps,0.05,0.95,1.0,2.0
cross:pd_to_hd,dt,aps,0.1,0.9,1.0,2.0
cross:pd_to_hd,dt,aps,0.2,0.8,1.0,2.0
cross:pd_to_hd,qda,lac,0.05,0.95,0.757012,1.0
cross:pd_to_hd,qda,lac,0.1,0.9,0.757012,1.0
cross:pd_to_hd,qda,lac,0.2,0.8,0.757012,1.0
cross:pd_to_hd,qda,aps,0.05,0.95,0.990705,1.974723
cross:pd_to_hd,qda,aps,0.1,0.9,0.757012,1.0
cross:pd_to_hd,qda,aps,0.2,0.8,0.757012,1.0
cross:pd_to_hd,xgb,lac,0.05,0.95,0.849641,1.0
cross:pd_to_hd,xgb,lac,0.1,0.9,0.849641,1.0
cross:pd_to_hd,xgb,lac,0.2,0.8,0.849641,1.0
cross:pd_to_hd,xgb,aps,0.05,0.95,0.849641,1.0
cross:pd_to_hd,xgb,aps,0.1,0.9,0.849641,1.0
cross:pd_to_hd,xgb,aps,0.2,0.8,0.849641,1.0
cross:pd_to_hd,lgbm,lac,0.05,0.95,0.850294,1.0
cross:pd_to_hd,lgbm,lac,0.1,0.9,0.850294,1.0
cross:pd_to_hd,lgbm,lac,0.2,0.8,0.850294,1.0
cross:pd_to_hd,lgbm,aps,0.05,0.95,0.850294,1.0
cross:pd_to_hd,lgbm,aps,0.1,0.9,0.850294,1.0
cross:pd_to_hd,lgbm,aps,0.2,0.8,0.850294,1.0
cross:hd_to_pd,rf,lac,0.05,0.95,0.793392,1.0
cross:hd_to_pd,rf,lac,0.1,0.9,0.793392,1.0
cross:hd_to_pd,rf,lac,0.2,0.8,0.793392,1.0
cross:hd_to_pd,rf,aps,0.05,0.95,1.0,2.0
cross:hd_to_pd,rf,aps,0.1,0.9,1.0,2.0
cross:hd_to_pd,rf,aps,0.2,0.8,1.0,2.0
cross:hd_to_pd,knn,lac,0.05,0.95,0.682871,1.0
cross:hd_to_pd,knn,lac,0.1,0.9,0.682871,1.0
cross:hd_to_pd,knn,lac,0.2,0.8,0.682871,1.0
cross:hd_to_pd,knn,aps,0.05,0.95,0.99981,1.99943
cross:hd_to_pd,knn,aps,0.1,0.9,0.99981,1.99943
cross:hd_to_pd,knn,aps,0.2,0.8,0.99981,1.99943
cross:hd_to_pd,svm,lac,0.05,0.95,0.676225,1.0
cross:hd_to_pd,svm,lac,0.1,0.9,0.676225,1.0
cross:hd_to_pd,svm,lac,0.2,0.8,0.676225,1.0
cross:hd_to_pd,svm,aps,0.05,0.95,0.676225,1.0
cross:hd_to_pd,svm,aps,0.1,0.9,0.676225,1.0
cross:hd_to_pd,svm,aps,0.2,0.8,0.676225,1.0
cross:hd_to_pd,dt,lac,0.05,0.95,0.793392,1.0
cross:hd_to_pd,dt,lac,0.1,0.9,0.793392,1.0
cross:hd_to_pd,dt,lac,0.2,0.8,0.793392,1.0
cross:hd_to_pd,dt,aps,0.05,0.95,1.0,2.0
cross:hd_to_pd,dt,aps,0.1,0.9,1.0,2.0
cross:hd_to_pd,dt,aps,0.2,0.8,1.0,2.0
cross:hd_to_pd,qda,lac,0.05,0.95,0.940752,1.513863
cross:hd_to_pd,qda,lac,0.1,0.9,0.918914,1.371439
cross:hd_to_pd,qda,lac,0.2,0.8,0.802697,1.0
cross:hd_to_pd,qda,aps,0.05,0.95,0.995253,1.963919
cross:hd_to_pd,qda,aps,0.1,0.9,0.995253,1.963919
cross:hd_to_pd,qda,aps,0.2,0.8,0.995253,1.963919
cross:hd_to_pd,xgb,lac,0.05,0.95,0.793392,1.0
cross:hd_to_pd,xgb,lac,0.1,0.9,0.793392,1.0
cross:hd_to_pd,xgb,lac,0.2,0.8,0.793392,1.0
cross:hd_to_pd,xgb,aps,0.05,0.95,0.793392,1.0
cross:hd_to_pd,xgb,aps,0.1,0.9,0.793392,1.0
cross:hd_to_pd,xgb,aps,0.2,0.8,0.793392,1.0
cross:hd_to_pd,lgbm,lac,0.05,0.95,0.793392,1.0
cross:hd_to_pd,lgbm,lac,0.1,0.9,0.793392,1.0
cross:hd_to_pd,lgbm,lac,0.2,0.8,0.793392,1.0
cross:hd_to_pd,lgbm,aps,0.05,0.95,0.793392,1.0
cross:hd_to_pd,lgbm,aps,0.1,0.9,0.793392,1.0
cross:hd_to_pd,lgbm,aps,0.2,0.8,0.793392,1.0
cross:pd_to_als,rf,lac,0.05,0.95,0.714527,1.0
cross:pd_to_als,rf,lac,0.1,0.9,0.714527,1.0
cross:pd_to_als,rf,lac,0.2,0.8,0.714527,1.0
cross:pd_to_als,rf,aps,0.05,0.95,0.998308,1.996858
cross:pd_to_als,rf,aps,0.1,0.9,0.998308,1.996858
cross:pd_to_als,rf,aps,0.2,0.8,0.998308,1.996858
cross:pd_to_als,knn,lac,0.05,0.95,0.854242,1.0
cross:pd_to_als,knn,lac,0.1,0.9,0.854242,1.0
cross:pd_to_als,knn,lac,0.2,0.8,0.854242,1.0
cross:pd_to_als,knn,aps,0.05,0.95,1.0,2.0
cross:pd_to_als,knn,aps,0.1,0.9,1.0,2.0
cross:pd_to_als,knn,aps,0.2,0.8,1.0,2.0
cross:pd_to_als,svm,lac,0.05,0.95,0.649263,1.0
cross:pd_to_als,svm,lac,0.1,0.9,0.649263,1.0
cross:pd_to_als,svm,lac,0.2,0.8,0.649263,1.0
cross:pd_to_als,svm,aps,0.05,0.95,0.649263,1.0
cross:pd_to_als,svm,aps,0.1,0.9,0.649263,1.0
cross:pd_to_als,svm,aps,0.2,0.8,0.649263,1.0
cross:pd_to_als,dt,lac,0.05,0.95,0.721537,1.0
cross:pd_to_als,dt,lac,0.1,0.9,0.721537,1.0
cross:pd_to_als,dt,lac,0.2,0.8,0.721537,1.0
cross:pd_to_als,dt,aps,0.05,0.95,1.0,2.0
cross:pd_to_als,dt,aps,0.1,0.9,1.0,2.0
cross:pd_to_als,dt,aps,0.2,0.8,1.0,2.0
cross:pd_to_als,qda,lac,0.05,0.95,0.872613,1.0
cross:pd_to_als,qda,lac,0.1,0.9,0.872613,1.0
cross:pd_to_als,qda,lac,0.2,0.8,0.872613,1.0
cross:pd_to_als,qda,aps,0.05,0.95,0.995891,1.970993
cross:pd_to_als,qda,aps,0.1,0.9,0.872613,1.0
cross:pd_to_als,qda,aps,0.2,0.8,0.872613,1.0
cross:pd_to_als,xgb,lac,0.05,0.95,0.70365,1.0
cross:pd_to_als,xgb,lac,0.1,0.9,0.70365,1.0
cross:pd_to_als,xgb,lac,0.2,0.8,0.70365,1.0
cross:pd_to_als,xgb,aps,0.05,0.95,0.70365,1.0
cross:pd_to_als,xgb,aps,0.1,0.9,0.70365,1.0
cross:pd_to_als,xgb,aps,0.2,0.8,0.70365,1.0
cross:pd_to_als,lgbm,lac,0.05,0.95,0.721054,1.0
cross:pd_to_als,lgbm,lac,0.1,0.9,0.721054,1.0
cross:pd_to_als,lgbm,lac,0.2,0.8,0.721054,1.0
cross:pd_to_als,lgbm,aps,0.05,0.95,0.721054,1.0
cross:pd_to_als,lgbm,aps,0.1,0.9,0.721054,1.0
cross:pd_to_als,lgbm,aps,0.2,0.8,0.721054,1.0
cross:als_to_pd,rf,lac,0.05,0.95,0.868211,1.0
cross:als_to_pd,rf,lac,0.1,0.9,0.868211,1.0
cross:als_to_pd,rf,lac,0.2,0.8,0.868211,1.0
cross:als_to_pd,rf,aps,0.05,0.95,0.991075,1.96297
cross:als_to_pd,rf,aps,0.1,0.9,0.991075,1.96297
cross:als_to_pd,rf,aps,0.2,0.8,0.991075,1.96297
cross:als_to_pd,knn,lac,0.05,0.95,0.766236,1.0
cross:als_to_pd,knn,lac,0.1,0.9,0.766236,1.0
cross:als_to_pd,knn,lac,0.2,0.8,0.766236,1.0
cross:als_to_pd,knn,aps,0.05,0.95,0.99943,1.995442
cross:als_to_pd,knn,aps,0.1,0.9,0.99943,1.995442
cross:als_to_pd,knn,aps,0.2,0.8,0.99943,1.995442
cross:als_to_pd,svm,lac,0.05,0.95,0.808393,1.0
cross:als_to_pd,svm,lac,0.1,0.9,0.808393,1.0
cross:als_to_pd,svm,lac,0.2,0.8,0.808393,1.0
cross:als_to_pd,svm,aps,0.05,0.95,0.808393,1.0
cross:als_to_pd,svm,aps,0.1,0.9,0.808393,1.0
cross:als_to_pd,svm,aps,0.2,0.8,0.808393,1.0
cross:als_to_pd,dt,lac,0.05,0.95,0.874668,1.0
cross:als_to_pd,dt,lac,0.1,0.9,0.874668,1.0
cross:als_to_pd,dt,lac,0.2,0.8,0.874668,1.0
cross:als_to_pd,dt,aps,0.05,0.95,1.0,2.0
cross:als_to_pd,dt,aps,0.1,0.9,1.0,2.0
cross:als_to_pd,dt,aps,0.2,0.8,0.874668,1.0
cross:als_to_pd,qda,lac,0.05,0.95,0.795101,1.0
cross:als_to_pd,qda,lac,0.1,0.9,0.795101,1.0
cross:als_to_pd,qda,lac,0.2,0.8,0.795101,1.0
cross:als_to_pd,qda,aps,0.05,0.95,0.994493,1.964489
cross:als_to_pd,qda,aps,0.1,0.9,0.994493,1.964489
cross:als_to_pd,qda,aps,0.2,0.8,0.994493,1.964489
cross:als_to_pd,xgb,lac,0.05,0.95,0.729776,1.0
cross:als_to_pd,xgb,lac,0.1,0.9,0.729776,1.0
cross:als_to_pd,xgb,lac,0.2,0.8,0.729776,1.0
cross:als_to_pd,xgb,aps,0.05,0.95,0.729776,1.0
cross:als_to_pd,xgb,aps,0.1,0.9,0.729776,1.0
cross:als_to_pd,xgb,aps,0.2,0.8,0.729776,1.0
cross:als_to_pd,lgbm,lac,0.05,0.95,0.791493,1.0
cross:als_to_pd,lgbm,lac,0.1,0.9,0.791493,1.0
cross:als_to_pd,lgbm,lac,0.2,0.8,0.791493,1.0
cross:als_to_pd,lgbm,aps,0.05,0.95,0.791493,1.0
cross:als_to_pd,lgbm,aps,0.1,0.9,0.791493,1.0
cross:als_to_pd,lgbm,aps,0.2,0.8,0.791493,1.0
cross:hd_to_als,rf,lac,0.05,0.95,0.620981,1.0
cross:hd_to_als,rf,lac,0.1,0.9,0.620981,1.0
cross:hd_to_als,rf,lac,0.2,0.8,0.620981,1.0
cross:hd_to_als,rf,aps,0.05,0.95,1.0,2.0
cross:hd_to_als,rf,aps,0.1,0.9,1.0,2.0
cross:hd_to_als,rf,aps,0.2,0.8,1.0,2.0
cross:hd_to_als,knn,lac,0.05,0.95,0.718878,1.0
cross:hd_to_als,knn,lac,0.1,0.9,0.718878,1.0
cross:hd_to_als,knn,lac,0.2,0.8,0.718878,1.0
cross:hd_to_als,knn,aps,0.05,0.95,0.999517,1.999033
cross:hd_to_als,knn,aps,0.1,0.9,0.999517,1.999033
cross:hd_to_als,knn,aps,0.2,0.8,0.999517,1.999033
cross:hd_to_als,svm,lac,0.05,0.95,0.671743,1.0
cross:hd_to_als,svm,lac,0.1,0.9,0.671743,1.0
cross:hd_to_als,svm,lac,0.2,0.8,0.671743,1.0
cross:hd_to_als,svm,aps,0.05,0.95,0.671743,1.0
cross:hd_to_als,svm,aps,0.1,0.9,0.671743,1.0
cross:hd_to_als,svm,aps,0.2,0.8,0.671743,1.0
cross:hd_to_als,dt,lac,0.05,0.95,0.620981,1.0
cross:hd_to_als,dt,lac,0.1,0.9,0.620981,1.0
cross:hd_to_als,dt,lac,0.2,0.8,0.620981,1.0
cross:hd_to_als,dt,aps,0.05,0.95,1.0,2.0
cross:hd_to_als,dt,aps,0.1,0.9,1.0,2.0
cross:hd_to_als,dt,aps,0.2,0.8,1.0,2.0
cross:hd_to_als,qda,lac,0.05,0.95,0.947063,1.389413
cross:hd_to_als,qda,lac,0.1,0.9,0.944646,1.263718
cross:hd_to_als,qda,lac,0.2,0.8,0.891951,1.0
cross:hd_to_als,qda,aps,0.05,0.95,0.998791,1.968576
cross:hd_to_als,qda,aps,0.1,0.9,0.998791,1.968576
cross:hd_to_als,qda,aps,0.2,0.8,0.998791,1.968576
cross:hd_to_als,xgb,lac,0.05,0.95,0.620981,1.0
cross:hd_to_als,xgb,lac,0.1,0.9,0.620981,1.0
cross:hd_to_als,xgb,lac,0.2,0.8,0.620981,1.0
cross:hd_to_als,xgb,aps,0.05,0.95,0.620981,1.0
cross:hd_to_als,xgb,aps,0.1,0.9,0.620981,1.0
cross:hd_to_als,xgb,aps,0.2,0.8,0.620981,1.0
cross:hd_to_als,lgbm,lac,0.05,0.95,0.620981,1.0
cross:hd_to_als,lgbm,lac,0.1,0.9,0.620981,1.0
cross:hd_to_als,lgbm,lac,0.2,0.8,0.620981,1.0
cross:hd_to_als,lgbm,aps,0.05,0.95,0.620981,1.0
cross:hd_to_als,lgbm,aps,0.1,0.9,0.620981,1.0
cross:hd_to_als,lgbm,aps,0.2,0.8,0.620981,1.0
cross:als_to_hd,rf,lac,0.05,0.95,0.783594,1.0
cross:als_to_hd,rf,lac,0.1,0.9,0.783594,1.0
cross:als_to_hd,rf,lac,0.2,0.8,0.783594,1.0
cross:als_to_hd,rf,aps,0.05,0.95,0.992172,1.963633
cross:als_to_hd,rf,aps,0.1,0.9,0.992172,1.963633
cross:als_to_hd,rf,aps,0.2,0.8,0.992172,1.963633
cross:als_to_hd,knn,lac,0.05,0.95,0.727658,1.0
cross:als_to_hd,knn,lac,0.1,0.9,0.727658,1.0
cross:als_to_hd,knn,lac,0.2,0.8,0.727658,1.0
cross:als_to_hd,knn,aps,0.05,0.95,0.998532,1.996902
cross:als_to_hd,knn,aps,0.1,0.9,0.998532,1.996902
cross:als_to_hd,knn,aps,0.2,0.8,0.998532,1.996902
cross:als_to_hd,svm,lac,0.05,0.95,0.727984,1.0
cross:als_to_hd,svm,lac,0.1,0.9,0.727984,1.0
cross:als_to_hd,svm,lac,0.2,0.8,0.727984,1.0
cross:als_to_hd,svm,aps,0.05,0.95,0.727984,1.0
cross:als_to_hd,svm,aps,0.1,0.9,0.727984,1.0
cross:als_to_hd,svm,aps,0.2,0.8,0.727984,1.0
cross:als_to_hd,dt,lac,0.05,0.95,0.770059,1.0
cross:als_to_hd,dt,lac,0.1,0.9,0.770059,1.0
cross:als_to_hd,dt,lac,0.2,0.8,0.770059,1.0
cross:als_to_hd,dt,aps,0.05,0.95,1.0,2.0
cross:als_to_hd,dt,aps,0.1,0.9,1.0,2.0
cross:als_to_hd,dt,aps,0.2,0.8,0.770059,1.0
cross:als_to_hd,qda,lac,0.05,0.95,0.748206,1.0
cross:als_to_hd,qda,lac,0.1,0.9,0.748206,1.0
cross:als_to_hd,qda,lac,0.2,0.8,0.748206,1.0
cross:als_to_hd,qda,aps,0.05,0.95,0.990541,1.966895
cross:als_to_hd,qda,aps,0.1,0.9,0.990541,1.966895
cross:als_to_hd,qda,aps,0.2,0.8,0.990541,1.966895
cross:als_to_hd,xgb,lac,0.05,0.95,0.753425,1.0
cross:als_to_hd,xgb,lac,0.1,0.9,0.753425,1.0
cross:als_to_hd,xgb,lac,0.2,0.8,0.753425,1.0
cross:als_to_hd,xgb,aps,0.05,0.95,0.753425,1.0
cross:als_to_hd,xgb,aps,0.1,0.9,0.753425,1.0
cross:als_to_hd,xgb,aps,0.2,0.8,0.753425,1.0
cross:als_to_hd,lgbm,lac,0.05,0.95,0.770059,1.0
cross:als_to_hd,lgbm,lac,0.1,0.9,0.770059,1.0
cross:als_to_hd,lgbm,lac,0.2,0.8,0.770059,1.0
cross:als_to_hd,lgbm,aps,0.05,0.95,0.770059,1.0
cross:als_to_hd,lgbm,aps,0.1,0.9,0.770059,1.0
cross:als_to_hd,lgbm,aps,0.2,0.8,0.770059,1.0
