scope,clf,method,alpha,nominal,coverage,mean_set_size
within:pd,rf,lac,0.05,0.95,0.951571,1.951571
within:pd,rf,lac,0.1,0.9,0.910434,1.0
within:pd,rf,lac,0.2,0.8,0.910434,1.0
within:pd,rf,aps,0.05,0.95,1.0,1.989716
within:pd,rf,aps,0.1,0.9,1.0,1.989716
within:pd,rf,aps,0.2,0.8,1.0,1.989716
within:pd,knn,lac,0.05,0.95,0.942221,1.929132
within:pd,knn,lac,0.1,0.9,0.886874,1.051982
within:pd,knn,lac,0.2,0.8,0.862378,1.0
within:pd,knn,aps,0.05,0.95,1.0,2.0
within:pd,knn,aps,0.1,0.9,1.0,2.0
within:pd,knn,aps,0.2,0.8,1.0,2.0
within:pd,svm,lac,0.05,0.95,0.938108,1.200449
within:pd,svm,lac,0.1,0.9,0.864061,1.125467
within:pd,svm,lac,0.2,0.8,0.858452,1.0
within:pd,svm,aps,0.05,0.95,0.989529,1.794129
within:pd,svm,aps,0.1,0.9,0.875841,1.680441
within:pd,svm,aps,0.2,0.8,0.858452,1.0
within:pd,dt,lac,0.05,0.95,0.951571,1.951571
within:pd,dt,lac,0.1,0.9,0.910434,1.0
within:pd,dt,lac,0.2,0.8,0.910434,1.0
within:pd,dt,aps,0.05,0.95,1.0,2.0
within:pd,dt,aps,0.1,0.9,1.0,2.0
within:pd,dt,aps,0.2,0.8,1.0,2.0
within:pd,qda,lac,0.05,0.95,0.945213,1.241773
within:pd,qda,lac,0.1,0.9,0.893044,1.077412
within:pd,qda,lac,0.2,0.8,0.856208,1.0
within:pd,qda,aps,0.05,0.95,0.995886,1.968025
within:pd,qda,aps,0.1,0.9,0.995886,1.968025
within:pd,qda,aps,0.2,0.8,0.856208,1.0
within:pd,xgb,lac,0.05,0.95,0.951571,1.315819
within:pd,xgb,lac,0.1,0.9,0.867988,1.148467
within:pd,xgb,lac,0.2,0.8,0.863313,1.0
within:pd,xgb,aps,0.05,0.95,0.955684,1.799925
within:pd,xgb,aps,0.1,0.9,0.901085,1.734667
within:pd,xgb,aps,0.2,0.8,0.863313,1.0
within:pd,lgbm,lac,0.05,0.95,0.911743,1.207367
within:pd,lgbm,lac,0.1,0.9,0.909873,1.0
within:pd,lgbm,lac,0.2,0.8,0.909873,1.0
within:pd,lgbm,aps,0.05,0.95,0.951571,1.951571
within:pd,lgbm,aps,0.1,0.9,0.909873,1.0
within:pd,lgbm,aps,0.2,0.8,0.909873,1.0
within:hd,rf,lac,0.05,0.95,0.918088,1.347763
within:hd,rf,lac,0.1,0.9,0.918088,1.0
within:hd,rf,lac,0.2,0.8,0.918088,1.0
within:hd,rf,aps,0.05,0.95,1.0,2.0
within:hd,rf,aps,0.1,0.9,1.0,2.0
