corruption,severity,clf,delta,scope
sensor_dropout,light,rf,0.9022699666666668,within:pd
sensor_dropout,light,knn,0.8431759,within:pd
sensor_dropout,light,svm,0.8037434999999999,within:pd
sensor_dropout,light,dt,0.9022196,within:pd
sensor_dropout,light,qda,0.8291702999999999,within:pd
sensor_dropout,light,xgb,0.8547449666666667,within:pd
sensor_dropout,light,lgbm,0.9016652,within:pd
sensor_dropout,medium,rf,0.9023850666666667,within:pd
sensor_dropout,medium,knn,0.8153600666666666,within:pd
sensor_dropout,medium,svm,0.7871458333333334,within:pd
sensor_dropout,medium,dt,0.9024570666666668,within:pd
sensor_dropout,medium,qda,0.7997088,within:pd
sensor_dropout,medium,xgb,0.8552425333333333,within:pd
sensor_dropout,medium,lgbm,0.9020396,within:pd
sensor_dropout,heavy,rf,0.9028237666666665,within:pd
sensor_dropout,heavy,knn,0.7679368333333334,within:pd
sensor_dropout,heavy,svm,0.7607235,within:pd
sensor_dropout,heavy,dt,0.9028236666666668,within:pd
sensor_dropout,heavy,qda,0.7534439666666667,within:pd
sensor_dropout,heavy,xgb,0.8560874,within:pd
sensor_dropout,heavy,lgbm,0.9023849666666667,within:pd
gain_bias_drift,light,rf,0.8882086999999999,within:pd
gain_bias_drift,light,knn,0.8549936333333334,within:pd
gain_bias_drift,light,svm,0.8270998333333334,within:pd
gain_bias_drift,light,dt,0.8914206999999998,within:pd
gain_bias_drift,light,qda,0.7659644,within:pd
gain_bias_drift,light,xgb,0.8796557,within:pd
gain_bias_drift,light,lgbm,0.8890732,within:pd
gain_bias_drift,medium,rf,0.8451355333333332,within:pd
gain_bias_drift,medium,knn,0.8426799999999999,within:pd
gain_bias_drift,medium,svm,0.8080661333333334,within:pd
gain_bias_drift,medium,dt,0.8463181666666666,within:pd
gain_bias_drift,medium,qda,0.599026,within:pd
gain_bias_drift,medium,xgb,0.8550936666666666,within:pd
gain_bias_drift,medium,lgbm,0.8532379333333334,within:pd
gain_bias_drift,heavy,rf,0.7913958666666666,within:pd
gain_bias_drift,heavy,knn,0.7908695333333334,within:pd
gain_bias_drift,heavy,svm,0.7927052333333333,within:pd
gain_bias_drift,heavy,dt,0.7837722333333333,within:pd
gain_bias_drift,heavy,qda,0.4746920333333334,within:pd
gain_bias_drift,heavy,xgb,0.7941822333333335,within:pd
gain_bias_drift,heavy,lgbm,0.7845326666666667,within:pd
jitter,light,rf,0.8831496333333334,within:pd
jitter,light,knn,0.8541228333333332,within:pd
jitter,light,svm,0.8245239666666667,within:pd
jitter,light,dt,0.8803328999999998,within:pd
jitter,light,qda,0.8162312,within:pd
jitter,light,xgb,0.8609575333333334,within:pd
jitter,light,lgbm,0.8832290333333334,within:pd
jitter,medium,rf,0.8093252666666668,within:pd
jitter,medium,knn,0.8410626666666665,within:pd
jitter,medium,svm,0.7734158333333333,within:pd
jitter,medium,dt,0.804223,within:pd
jitter,medium,qda,0.6965579000000002,within:pd
jitter,medium,xgb,0.7992157666666667,within:pd
jitter,medium,lgbm,0.8142749333333332,within:pd
jitter,heavy,rf,0.7306836,within:pd
jitter,heavy,knn,0.792819,within:pd
jitter,heavy,svm,0.7076493666666666,within:pd
jitter,heavy,dt,0.7221934000000001,within:pd
jitter,heavy,qda,0.5572649,within:pd
jitter,heavy,xgb,0.7271536666666665,within:pd
jitter,heavy,lgbm,0.7327647000000004,within:pd
missing_strides,light,rf,0.9020320333333333,within:pd
missing_strides,light,knn,0.8564400333333333,within:pd
missing_strides,light,svm,0.8128844999999999,within:pd
missing_strides,light,dt,0.9019714999999998,within:pd
missing_strides,light,qda,0.8432033000000001,within:pd
missing_strides,light,xgb,0.8546224333333332,within:pd
missing_strides,light,lgbm,0.9018366333333332,within:pd
missing_strides,medium,rf,0.9015688000000001,within:pd
missing_strides,medium,knn,0.8557823666666666,within:pd
missing_strides,medium,svm,0.8119852333333334,within:pd
missing_strides,medium,dt,0.9021056666666664,within:pd
missing_strides,medium,qda,0.8428266666666666,within:pd
missing_strides,medium,xgb,0.8539675333333333,within:pd
missing_strides,medium,lgbm,0.9010884666666665,within:pd
missing_strides,heavy,rf,0.9015889666666668,within:pd
missing_strides,heavy,knn,0.8560372333333334,within:pd
missing_strides,heavy,svm,0.8147124,within:pd
missing_strides,heavy,dt,0.9020318333333335,within:pd
missing_strides,heavy,qda,0.8432662000000001,within:pd
missing_strides,heavy,xgb,0.8567038333333336,within:pd
missing_strides,heavy,lgbm,0.9009128333333335,within:pd
label_noise,light,rf,0.8585313333333333,within:pd
label_noise,light,knn,0.8198434666666669,within:pd
label_noise,light,svm,0.7788640000000001,within:pd
label_noise,light,dt,0.8582745999999999,within:pd
label_noise,light,qda,0.8058581666666668,within:pd
label_noise,light,xgb,0.8181934999999999,within:pd
label_noise,light,lgbm,0.8589397333333332,within:pd
label_noise,medium,rf,0.8148910333333332,within:pd
label_noise,medium,knn,0.7827801666666667,within:pd
label_noise,medium,svm,0.7460848333333333,within:pd
label_noise,medium,dt,0.8149857333333334,within:pd
label_noise,medium,qda,0.7685670333333334,within:pd
label_noise,medium,xgb,0.7802345999999999,within:pd
label_noise,medium,lgbm,0.8157426666666667,within:pd
label_noise,heavy,rf,0.7306477,within:pd
label_noise,heavy,knn,0.7112717,within:pd
label_noise,heavy,svm,0.6800637333333331,within:pd
label_noise,heavy,dt,0.7316279000000001,within:pd
label_noise,heavy,qda,0.6977665666666666,within:pd
label_noise,heavy,xgb,0.7089857333333335,within:pd
label_noise,heavy,lgbm,0.7311583999999999,within:pd
sensor_dropout,light,rf,0.9043500000000002,within:hd
sensor_dropout,light,knn,0.7643580666666666,within:hd
sensor_dropout,light,svm,0.8833335666666666,within:hd
sensor_dropout,light,dt,0.9043500000000002,within:hd
sensor_dropout,light,qda,0.7755497333333332,within:hd
sensor_dropout,light,xgb,0.9546029999999998,within:hd
sensor_dropout,light,lgbm,0.9043500000000002,within:hd
sensor_dropout,medium,rf,0.9043500000000002,within:hd
sensor_dropout,medium,knn,0.7436778000000002,within:hd
sensor_dropout,medium,svm,0.8525714333333333,within:hd
sensor_dropout,medium,dt,0.9043500000000002,within:hd
sensor_dropout,medium,qda,0.7574290333333333,within:hd
sensor_dropout,medium,xgb,0.9546029999999998,within:hd
sensor_dropout,medium,lgbm,0.9043500000000002,within:hd
sensor_dropout,heavy,rf,0.9043500000000002,within:hd
sensor_dropout,heavy,knn,0.7094412000000001,within:hd
sensor_dropout,heavy,svm,0.8017391666666668,within:hd
sensor_dropout,heavy,dt,0.9043500000000002,within:hd
sensor_dropout,heavy,qda,0.7279372666666668,within:hd
sensor_dropout,heavy,xgb,0.9546029999999998,within:hd
sensor_dropout,heavy,lgbm,0.9043500000000002,within:hd
gain_bias_drift,light,rf,0.9052801666666667,within:hd
gain_bias_drift,light,knn,0.7723840333333334,within:hd
gain_bias_drift,light,svm,0.8751352666666666,within:hd
gain_bias_drift,light,dt,0.8864194666666666,within:hd
gain_bias_drift,light,qda,0.7427283000000002,within:hd
gain_bias_drift,light,xgb,0.8945061999999997,within:hd
gain_bias_drift,light,lgbm,0.8924941,within:hd
gain_bias_drift,medium,rf,0.8664349000000001,within:hd
gain_bias_drift,medium,knn,0.7447917333333334,within:hd
gain_bias_drift,medium,svm,0.8173418666666667,within:hd
gain_bias_drift,medium,dt,0.8588255666666668,within:hd
gain_bias_drift,medium,qda,0.6180008666666666,within:hd
gain_bias_drift,medium,xgb,0.8569832666666666,within:hd
gain_bias_drift,medium,lgbm,0.8737767666666667,within:hd
gain_bias_drift,heavy,rf,0.8432416666666668,within:hd
gain_bias_drift,heavy,knn,0.6975162000000001,within:hd
gain_bias_drift,heavy,svm,0.7355419333333334,within:hd
gain_bias_drift,heavy,dt,0.8092761333333335,within:hd
gain_bias_drift,heavy,qda,0.47542373333333326,within:hd
gain_bias_drift,heavy,xgb,0.7757657333333334,within:hd
gain_bias_drift,heavy,lgbm,0.7727839,within:hd
jitter,light,rf,0.8662385333333332,within:hd
jitter,light,knn,0.7625863666666668,within:hd
jitter,light,svm,0.8297715333333332,within:hd
jitter,light,dt,0.8655420333333333,within:hd
jitter,light,qda,0.7629321,within:hd
jitter,light,xgb,0.8646403333333333,within:hd
jitter,light,lgbm,0.8659918333333334,within:hd
jitter,medium,rf,0.7929645999999999,within:hd
jitter,medium,knn,0.7290449333333335,within:hd
jitter,medium,svm,0.7389255666666668,within:hd
jitter,medium,dt,0.7801496,within:hd
jitter,medium,qda,0.6609904333333334,within:hd
jitter,medium,xgb,0.7816799333333333,within:hd
jitter,medium,lgbm,0.7806459666666669,within:hd
jitter,heavy,rf,0.7270774666666665,within:hd
jitter,heavy,knn,0.6896826666666668,within:hd
jitter,heavy,svm,0.6755490000000001,within:hd
jitter,heavy,dt,0.7067176666666666,within:hd
jitter,heavy,qda,0.5153266333333334,within:hd
jitter,heavy,xgb,0.7081924666666667,within:hd
jitter,heavy,lgbm,0.7056842999999999,within:hd
missing_strides,light,rf,0.9044282333333332,within:hd
missing_strides,light,knn,0.7747773333333333,within:hd
missing_strides,light,svm,0.8982604333333335,within:hd
missing_strides,light,dt,0.9045728333333332,within:hd
missing_strides,light,qda,0.7838700000000001,within:hd
missing_strides,light,xgb,0.9546132666666666,within:hd
missing_strides,light,lgbm,0.9043637,within:hd
missing_strides,medium,rf,0.904233233333333,within:hd
missing_strides,medium,knn,0.7736379000000002,within:hd
missing_strides,medium,svm,0.8980179333333334,within:hd
missing_strides,medium,dt,0.9040486999999999,within:hd
missing_strides,medium,qda,0.7833944666666668,within:hd
missing_strides,medium,xgb,0.9551862999999999,within:hd
missing_strides,medium,lgbm,0.9035425666666667,within:hd
missing_strides,heavy,rf,0.9054524666666665,within:hd
missing_strides,heavy,knn,0.7758930333333335,within:hd
missing_strides,heavy,svm,0.8979388666666667,within:hd
missing_strides,heavy,dt,0.9044902666666665,within:hd
missing_strides,heavy,qda,0.7821847000000001,within:hd
missing_strides,heavy,xgb,0.9545894999999999,within:hd
missing_strides,heavy,lgbm,0.9046882666666668,within:hd
label_noise,light,rf,0.8578963999999999,within:hd
label_noise,light,knn,0.7432181999999999,within:hd
label_noise,light,svm,0.8527512000000002,within:hd
label_noise,light,dt,0.8579178666666665,within:hd
label_noise,light,qda,0.7552049000000001,within:hd
label_noise,light,xgb,0.9039500666666666,within:hd
label_noise,light,lgbm,0.8573108333333332,within:hd
label_noise,medium,rf,0.8110901666666666,within:hd
label_noise,medium,knn,0.7135059666666665,within:hd
label_noise,medium,svm,0.8078486666666667,within:hd
label_noise,medium,dt,0.8125171666666665,within:hd
label_noise,medium,qda,0.7266429333333334,within:hd
label_noise,medium,xgb,0.8560403000000001,within:hd
label_noise,medium,lgbm,0.8124505000000001,within:hd
label_noise,heavy,rf,0.7268433,within:hd
label_noise,heavy,knn,0.6537437666666666,within:hd
label_noise,heavy,svm,0.7235118333333334,within:hd
label_noise,heavy,dt,0.7255574666666667,within:hd
label_noise,heavy,qda,0.6680150666666667,within:hd
label_noise,heavy,xgb,0.7595215666666667,within:hd
label_noise,heavy,lgbm,0.7263278666666668,within:hd
sensor_dropout,light,rf,0.9015406000000001,within:als
sensor_dropout,light,knn,0.9309049999999999,within:als
sensor_dropout,light,svm,0.9586008666666666,within:als
sensor_dropout,light,dt,0.7282435,within:als
sensor_dropout,light,qda,0.9312281333333333,within:als
sensor_dropout,light,xgb,0.8607498666666669,within:als
sensor_dropout,light,lgbm,0.7769811333333333,within:als
sensor_dropout,medium,rf,0.8867805,within:als
sensor_dropout,medium,knn,0.8866461666666665,within:als
sensor_dropout,medium,svm,0.9136703666666665,within:als
sensor_dropout,medium,dt,0.7271981999999999,within:als
sensor_dropout,medium,qda,0.8894756333333332,within:als
sensor_dropout,medium,xgb,0.8503077666666667,within:als
sensor_dropout,medium,lgbm,0.7731405,within:als
sensor_dropout,heavy,rf,0.8658914,within:als
sensor_dropout,heavy,knn,0.8196754333333333,within:als
sensor_dropout,heavy,svm,0.8410186000000001,within:als
sensor_dropout,heavy,dt,0.7232375666666667,within:als
sensor_dropout,heavy,qda,0.8204238666666667,within:als
sensor_dropout,heavy,xgb,0.8367787000000001,within:als
sensor_dropout,heavy,lgbm,0.7676690666666668,within:als
gain_bias_drift,light,rf,0.8985688333333333,within:als
gain_bias_drift,light,knn,0.9490470999999999,within:als
gain_bias_drift,light,svm,0.9722371333333334,within:als
gain_bias_drift,light,dt,0.7488534999999998,within:als
gain_bias_drift,light,qda,0.8973106666666665,within:als
gain_bias_drift,light,xgb,0.8257834666666667,within:als
gain_bias_drift,light,lgbm,0.7766226333333334,within:als
gain_bias_drift,medium,rf,0.8722875333333334,within:als
gain_bias_drift,medium,knn,0.9283094000000001,within:als
gain_bias_drift,medium,svm,0.9554531999999998,within:als
gain_bias_drift,medium,dt,0.7259851333333333,within:als
gain_bias_drift,medium,qda,0.7084987333333331,within:als
gain_bias_drift,medium,xgb,0.8046334333333334,within:als
gain_bias_drift,medium,lgbm,0.7617522666666665,within:als
gain_bias_drift,heavy,rf,0.8100691000000001,within:als
gain_bias_drift,heavy,knn,0.9020375999999999,within:als
gain_bias_drift,heavy,svm,0.8888145333333333,within:als
gain_bias_drift,heavy,dt,0.6761115,within:als
gain_bias_drift,heavy,qda,0.5299638333333333,within:als
gain_bias_drift,heavy,xgb,0.7756232333333333,within:als
gain_bias_drift,heavy,lgbm,0.7438601333333332,within:als
jitter,light,rf,0.9046058,within:als
jitter,light,knn,0.9481115,within:als
jitter,light,svm,0.9764863666666667,within:als
jitter,light,dt,0.7423459,within:als
jitter,light,qda,0.9334050666666668,within:als
jitter,light,xgb,0.8338433333333332,within:als
jitter,light,lgbm,0.7784066000000001,within:als
jitter,medium,rf,0.8640665999999998,within:als
jitter,medium,knn,0.9383570333333334,within:als
jitter,medium,svm,0.9569533666666665,within:als
jitter,medium,dt,0.7233230333333333,within:als
jitter,medium,qda,0.8147688333333332,within:als
jitter,medium,xgb,0.8190420333333334,within:als
jitter,medium,lgbm,0.7703740333333333,within:als
jitter,heavy,rf,0.8011881666666666,within:als
jitter,heavy,knn,0.9030766,within:als
jitter,heavy,svm,0.9033976999999999,within:als
jitter,heavy,dt,0.6751781333333332,within:als
jitter,heavy,qda,0.6199797333333336,within:als
jitter,heavy,xgb,0.7763273333333333,within:als
jitter,heavy,lgbm,0.7437183666666668,within:als
missing_strides,light,rf,0.9082417333333335,within:als
missing_strides,light,knn,0.9524375666666667,within:als
missing_strides,light,svm,0.9811671666666667,within:als
missing_strides,light,dt,0.7284260333333334,within:als
missing_strides,light,qda,0.9531242000000002,within:als
missing_strides,light,xgb,0.8664027000000001,within:als
missing_strides,light,lgbm,0.7784663999999999,within:als
missing_strides,medium,rf,0.9087675000000001,within:als
missing_strides,medium,knn,0.9519998333333333,within:als
