direction,classifier,family,delta_j_family
hd_to_pd,xgb,asymmetry,0.0
hd_to_pd,xgb,fractal,0.0
hd_to_pd,xgb,phase_percentage,0.0
hd_to_pd,xgb,raw_timing,0.0
hd_to_pd,xgb,variability,0.0
pd_to_als,dt,asymmetry,0.0
pd_to_als,dt,fractal,0.027284
pd_to_als,dt,phase_percentage,0.0
pd_to_als,dt,raw_timing,0.037591
pd_to_als,dt,variability,0.04335
pd_to_als,knn,asymmetry,0.001566
pd_to_als,knn,fractal,0.023097
pd_to_als,knn,phase_percentage,0.001999
pd_to_als,knn,raw_timing,0.068562
pd_to_als,knn,variability,0.025365
pd_to_als,lgbm,asymmetry,2e-06
pd_to_als,lgbm,fractal,0.002118
pd_to_als,lgbm,phase_percentage,0.000502
pd_to_als,lgbm,raw_timing,0.047078
pd_to_als,lgbm,variability,0.042132
pd_to_als,qda,asymmetry,0.004007
pd_to_als,qda,fractal,0.011913
pd_to_als,qda,phase_percentage,0.00517
pd_to_als,qda,raw_timing,0.068081
pd_to_als,qda,variability,0.048172
pd_to_als,rf,asymmetry,0.000179
pd_to_als,rf,fractal,0.001477
pd_to_als,rf,phase_percentage,0.004412
pd_to_als,rf,raw_timing,0.022593
pd_to_als,rf,variability,0.003043
pd_to_als,svm,asymmetry,0.001093
pd_to_als,svm,fractal,0.005471
pd_to_als,svm,phase_percentage,0.004269
pd_to_als,svm,raw_timing,0.045876
pd_to_als,svm,variability,0.012493
pd_to_als,xgb,asymmetry,4e-06
pd_to_als,xgb,fractal,0.000406
pd_to_als,xgb,phase_percentage,0.000335
pd_to_als,xgb,raw_timing,0.052274
pd_to_als,xgb,variability,0.045635
pd_to_hd,dt,asymmetry,0.0
pd_to_hd,dt,fractal,0.003836
pd_to_hd,dt,phase_percentage,0.0
pd_to_hd,dt,raw_timing,0.010578
pd_to_hd,dt,variability,0.006609
pd_to_hd,knn,asymmetry,0.008297
pd_to_hd,knn,fractal,0.016902
pd_to_hd,knn,phase_percentage,0.000424
pd_to_hd,knn,raw_timing,0.010442
pd_to_hd,knn,variability,0.025759
pd_to_hd,lgbm,asymmetry,7.4e-05
pd_to_hd,lgbm,fractal,0.00316
pd_to_hd,lgbm,phase_percentage,0.000168
pd_to_hd,lgbm,raw_timing,0.005312
pd_to_hd,lgbm,variability,0.009184
pd_to_hd,qda,asymmetry,0.014006
pd_to_hd,qda,fractal,0.007593
pd_to_hd,qda,phase_percentage,0.005159
pd_to_hd,qda,raw_timing,0.018393
pd_to_hd,qda,variability,0.016826
pd_to_hd,rf,asymmetry,0.001075
pd_to_hd,rf,fractal,0.00214
pd_to_hd,rf,phase_percentage,0.003901
pd_to_hd,rf,raw_timing,0.016007
pd_to_hd,rf,variability,0.006608
pd_to_hd,svm,asymmetry,0.008942
pd_to_hd,svm,fractal,0.001954
pd_to_hd,svm,phase_percentage,0.002933
pd_to_hd,svm,raw_timing,0.013226
pd_to_hd,svm,variability,0.019172
pd_to_hd,xgb,asymmetry,6.8e-05
pd_to_hd,xgb,fractal,0.000422
pd_to_hd,xgb,phase_percentage,0.000126
pd_to_hd,xgb,raw_timing,0.006211
pd_to_hd,xgb,variability,0.007871
