direction,classifier,feature,delta_j_normalized,family,abs_delta
als_to_hd,dt,dfa_alpha_stride,0.946111180427985,fractal,0.946111180427985
als_to_hd,dt,cv_swing,0.4133981475927912,variability,0.4133981475927912
als_to_hd,dt,double_support_s,0.20464720330456285,raw_timing,0.20464720330456285
als_to_hd,knn,asymmetry_index,1.5077643158539409,asymmetry,1.5077643158539409
als_to_hd,knn,cv_swing,0.40641291229319043,variability,0.40641291229319043
als_to_hd,knn,cv_stride,0.22812315726100518,variability,0.22812315726100518
als_to_hd,lgbm,cv_stride,0.4951775505154968,variability,0.4951775505154968
als_to_hd,lgbm,left_swing_pct,0.45420867399844184,phase_percentage,0.45420867399844184
als_to_hd,lgbm,right_stance_s,0.24355554663828324,raw_timing,0.24355554663828324
als_to_hd,qda,asymmetry_index,1.4791766348737918,asymmetry,1.4791766348737918
als_to_hd,qda,cv_swing,0.6118037200686524,variability,0.6118037200686524
als_to_hd,qda,cv_stride,0.5696442424712125,variability,0.5696442424712125
als_to_hd,rf,asymmetry_index,1.545604609752012,asymmetry,1.545604609752012
als_to_hd,rf,cv_stride,0.7653392991079742,variability,0.7653392991079742
als_to_hd,rf,dfa_alpha_stride,0.49302166577260553,fractal,0.49302166577260553
als_to_hd,svm,asymmetry_index,6.858373205638293,asymmetry,6.858373205638293
als_to_hd,svm,cv_swing,0.9216339174737577,variability,0.9216339174737577
als_to_hd,svm,right_swing_pct,0.5489767903895114,phase_percentage,0.5489767903895114
als_to_hd,xgb,right_swing_s,0.6647320861802499,raw_timing,0.6647320861802499
als_to_hd,xgb,asymmetry_index,0.5585776329334974,asymmetry,0.5585776329334974
als_to_hd,xgb,dfa_alpha_stride,0.40204589459102924,fractal,0.40204589459102924
als_to_pd,dt,cv_swing,0.9036571382312575,variability,0.9036571382312575
als_to_pd,dt,dfa_alpha_stride,0.4134398545713269,fractal,0.4134398545713269
als_to_pd,dt,double_support_s,0.22029828736997267,raw_timing,0.22029828736997267
als_to_pd,knn,asymmetry_index,0.42835938218897757,asymmetry,0.42835938218897757
als_to_pd,knn,left_swing_s,0.17513946042998363,raw_timing,0.17513946042998363
als_to_pd,knn,right_swing_pct,0.17123686428587212,phase_percentage,0.17123686428587212
als_to_pd,lgbm,right_swing_s,0.3156955617415909,raw_timing,0.3156955617415909
als_to_pd,lgbm,right_swing_pct,0.3120922594500452,phase_percentage,0.3120922594500452
als_to_pd,lgbm,left_swing_pct,0.14834649014124937,phase_percentage,0.14834649014124937
als_to_pd,qda,asymmetry_index,0.4900500605444041,asymmetry,0.4900500605444041
als_to_pd,qda,left_stance_s,0.43082827825831077,raw_timing,0.43082827825831077
als_to_pd,qda,right_stride_s,0.34649507642327365,raw_timing,0.34649507642327365
als_to_pd,rf,asymmetry_index,0.47543808517362274,asymmetry,0.47543808517362274
als_to_pd,rf,left_swing_s,0.41723057103595035,raw_timing,0.41723057103595035
als_to_pd,rf,dfa_alpha_stride,0.3682770167742823,fractal,0.3682770167742823
als_to_pd,svm,asymmetry_index,1.2700699401381041,asymmetry,1.2700699401381041
als_to_pd,svm,right_swing_pct,0.8193125406500863,phase_percentage,0.8193125406500863
als_to_pd,svm,double_support_pct,0.6016221226837388,phase_percentage,0.6016221226837388
als_to_pd,xgb,right_swing_s,1.162453143983575,raw_timing,1.162453143983575
als_to_pd,xgb,left_swing_s,0.3310555444446644,raw_timing,0.3310555444446644
als_to_pd,xgb,dfa_alpha_stride,0.30321090731586897,fractal,0.30321090731586897
hd_to_als,dt,cv_stride,2.220446049250313e-15,variability,2.220446049250313e-15
hd_to_als,dt,left_stride_s,0.0,raw_timing,0.0
hd_to_als,dt,right_stride_s,0.0,raw_timing,0.0
hd_to_als,knn,left_stride_s,1.6894252923776276,raw_timing,1.6894252923776276
hd_to_als,knn,right_stride_s,1.6232662272317333,raw_timing,1.6232662272317333
hd_to_als,knn,left_stance_s,1.4912847196066856,raw_timing,1.4912847196066856
hd_to_als,lgbm,left_stride_s,0.0966054368058544,raw_timing,0.0966054368058544
hd_to_als,lgbm,left_swing_s,0.036521451852361254,raw_timing,0.036521451852361254
hd_to_als,lgbm,right_swing_s,0.02010263048183615,raw_timing,0.02010263048183615
hd_to_als,qda,right_stride_s,0.8951066193834161,raw_timing,0.8951066193834161
hd_to_als,qda,left_stride_s,0.8384771888085257,raw_timing,0.8384771888085257
hd_to_als,qda,asymmetry_index,0.4000303953250141,asymmetry,0.4000303953250141
hd_to_als,rf,right_stride_s,0.5376266565680525,raw_timing,0.5376266565680525
hd_to_als,rf,left_stride_s,0.4835601404277116,raw_timing,0.4835601404277116
hd_to_als,rf,right_stance_s,0.30682292712504416,raw_timing,0.30682292712504416
hd_to_als,svm,right_stride_s,1.2975518523984013,raw_timing,1.2975518523984013
hd_to_als,svm,left_stride_s,1.2181767814059348,raw_timing,1.2181767814059348
hd_to_als,svm,left_stance_s,1.2005764940213688,raw_timing,1.2005764940213688
hd_to_als,xgb,cv_stride,1.4682544278031819e-08,variability,1.4682544278031819e-08
hd_to_als,xgb,left_stride_s,0.0,raw_timing,0.0
hd_to_als,xgb,right_stride_s,0.0,raw_timing,0.0
hd_to_pd,dt,cv_stride,4.773959005888152e-15,variability,4.773959005888152e-15
hd_to_pd,dt,left_stride_s,0.0,raw_timing,0.0
hd_to_pd,dt,right_stride_s,0.0,raw_timing,0.0
hd_to_pd,knn,right_swing_s,0.9366325926236935,raw_timing,0.9366325926236935
hd_to_pd,knn,left_stance_s,0.9318541248340444,raw_timing,0.9318541248340444
hd_to_pd,knn,right_stride_s,0.9218863899949513,raw_timing,0.9218863899949513
hd_to_pd,lgbm,left_stride_s,0.10839234970555875,raw_timing,0.10839234970555875
hd_to_pd,lgbm,right_stride_s,0.05779867268098979,raw_timing,0.05779867268098979
hd_to_pd,lgbm,left_swing_s,0.03640224456946765,raw_timing,0.03640224456946765
hd_to_pd,qda,cv_stride,0.4468940520115716,variability,0.4468940520115716
hd_to_pd,qda,right_stride_s,0.33021137551878355,raw_timing,0.33021137551878355
hd_to_pd,qda,cv_swing,0.29101917368507924,variability,0.29101917368507924
hd_to_pd,rf,left_stride_s,0.24822571595482112,raw_timing,0.24822571595482112
hd_to_pd,rf,double_support_s,0.23705319896062693,raw_timing,0.23705319896062693
hd_to_pd,rf,left_swing_s,0.22024196115634098,raw_timing,0.22024196115634098
hd_to_pd,svm,right_swing_s,0.9501596082016476,raw_timing,0.9501596082016476
hd_to_pd,svm,left_stance_s,0.5362000700164473,raw_timing,0.5362000700164473
hd_to_pd,svm,right_stride_s,0.5119995350994064,raw_timing,0.5119995350994064
hd_to_pd,xgb,cv_stride,1.785256983495719e-14,variability,1.785256983495719e-14
hd_to_pd,xgb,left_stride_s,0.0,raw_timing,0.0
hd_to_pd,xgb,right_stride_s,0.0,raw_timing,0.0
pd_to_als,dt,dfa_alpha_stride,1.2783637461707813,fractal,1.2783637461707813
pd_to_als,dt,right_stride_s,0.6238509722249329,raw_timing,0.6238509722249329
pd_to_als,dt,left_stride_s,0.3108684459326622,raw_timing,0.3108684459326622
pd_to_als,knn,left_stride_s,0.6586832281310839,raw_timing,0.6586832281310839
pd_to_als,knn,left_stance_s,0.6043834195391891,raw_timing,0.6043834195391891
pd_to_als,knn,left_swing_s,0.589072767744961,raw_timing,0.589072767744961
pd_to_als,lgbm,left_stride_s,0.8235849292429387,raw_timing,0.8235849292429387
pd_to_als,lgbm,left_swing_s,0.7882817849780659,raw_timing,0.7882817849780659
pd_to_als,lgbm,double_support_s,0.7502808320404896,raw_timing,0.7502808320404896
pd_to_als,qda,right_stride_s,0.7063228198828473,raw_timing,0.7063228198828473
pd_to_als,qda,left_swing_pct,0.6755868913398742,phase_percentage,0.6755868913398742
pd_to_als,qda,left_swing_s,0.621268169166007,raw_timing,0.621268169166007
pd_to_als,rf,right_stride_s,0.4359200703235842,raw_timing,0.4359200703235842
pd_to_als,rf,double_support_pct,0.4220372429160914,phase_percentage,0.4220372429160914
pd_to_als,rf,left_stride_s,0.2474458754152973,raw_timing,0.2474458754152973
pd_to_als,svm,left_stride_s,0.992635784395668,raw_timing,0.992635784395668
pd_to_als,svm,right_stride_s,0.9181642168488934,raw_timing,0.9181642168488934
pd_to_als,svm,left_stance_s,0.841153515161365,raw_timing,0.841153515161365
pd_to_als,xgb,left_stride_s,0.8017140181333109,raw_timing,0.8017140181333109
pd_to_als,xgb,right_stride_s,0.759291801808946,raw_timing,0.759291801808946
pd_to_als,xgb,right_swing_s,0.7156287456434505,raw_timing,0.7156287456434505
pd_to_hd,dt,left_stride_s,0.20627073181512384,raw_timing,0.20627073181512384
pd_to_hd,dt,dfa_alpha_stride,0.17971503172253642,fractal,0.17971503172253642
pd_to_hd,dt,right_stride_s,0.16809860437087387,raw_timing,0.16809860437087387
pd_to_hd,knn,asymmetry_index,1.1968744760212706,asymmetry,1.1968744760212706
pd_to_hd,knn,cv_stride,0.2226674461489924,variability,0.2226674461489924
pd_to_hd,knn,dfa_alpha_stride,0.1983282777206156,fractal,0.1983282777206156
pd_to_hd,lgbm,asymmetry_index,0.8588895240952893,asymmetry,0.8588895240952893
pd_to_hd,lgbm,double_support_pct,0.6107888674048946,phase_percentage,0.6107888674048946
pd_to_hd,lgbm,left_stance_s,0.20809763941466106,raw_timing,0.20809763941466106
pd_to_hd,qda,asymmetry_index,0.5176065387369236,asymmetry,0.5176065387369236
