k,silhouette_score,inertia,calinski_harabasz_score,davies_bouldin_score,ari_against_relevant_labels
2,0.46249301102725554,432.4001558397713,23.478236189563685,1.1190802618057194,0.013472519495572141
3,0.3368155181963813,357.04727960634347,18.543650174173777,1.311139835011679,-0.005365446721345327
4,0.3435198720860532,290.12372670319587,18.174636423245147,1.1221787128793896,0.02772222059802264
5,0.2961931750147103,226.18723550559116,20.045490264101204,0.9335259436167723,0.016945161009825804
6,0.2666844504135692,180.53599629973326,21.68656063382509,1.0162844503649315,0.06890218414730433
7,0.24117808531300808,160.54307180826103,20.657257170456166,1.0541594738516493,0.08600129674412084
8,0.22891018911903116,140.01868065166866,20.61079213610751,0.9047513111943841,0.056153316987987936
9,0.24589129278877123,125.58872044590578,20.136789107356435,0.854606076466648,0.0993486784005957
10,0.23023311778326638,114.75405865333278,19.462008156793296,0.8990504863551966,0.06832172427986347
