direction,classifier,feature,delta_j_norm
als_to_pd,dt,double_support_s,0.22029828736997267
als_to_pd,dt,double_support_pct,0.0
als_to_pd,dt,asymmetry_index,0.0
als_to_pd,dt,cv_stride,0.0
als_to_pd,dt,cv_swing,0.9036571382312575
als_to_pd,dt,dfa_alpha_stride,0.4134398545713269
als_to_pd,knn,left_stride_s,0.09828594755396143
als_to_pd,knn,right_stride_s,0.14781295188816496
als_to_pd,knn,left_swing_s,0.17513946042998363
als_to_pd,knn,right_swing_s,0.13214086625146482
als_to_pd,knn,left_swing_pct,0.11835201215592751
als_to_pd,knn,right_swing_pct,0.17123686428587212
als_to_pd,knn,left_stance_s,0.07288051421945967
als_to_pd,knn,right_stance_s,0.09167118610160171
als_to_pd,knn,double_support_s,0.040749735150369865
als_to_pd,knn,double_support_pct,0.14994799446418736
als_to_pd,knn,asymmetry_index,0.42835938218897757
als_to_pd,knn,cv_stride,0.024067181744973926
als_to_pd,knn,cv_swing,0.05515748115964949
als_to_pd,knn,dfa_alpha_stride,0.06573278958113796
als_to_pd,lgbm,left_stride_s,0.014650787039963286
als_to_pd,lgbm,right_stride_s,0.03131802165521907
als_to_pd,lgbm,left_swing_s,0.018226230270032104
als_to_pd,lgbm,right_swing_s,0.3156955617415909
als_to_pd,lgbm,left_swing_pct,0.14834649014124937
als_to_pd,lgbm,right_swing_pct,0.3120922594500452
als_to_pd,lgbm,left_stance_s,0.1436598122167839
als_to_pd,lgbm,right_stance_s,0.01820744654553192
als_to_pd,lgbm,double_support_s,0.13125004485730302
als_to_pd,lgbm,double_support_pct,0.048613839609738224
als_to_pd,lgbm,asymmetry_index,0.0318821130682947
als_to_pd,lgbm,cv_stride,0.06935525996336217
als_to_pd,lgbm,cv_swing,0.09359592653478202
als_to_pd,lgbm,dfa_alpha_stride,0.05554632013865713
als_to_pd,qda,left_stride_s,0.24430764479769876
als_to_pd,qda,right_stride_s,0.34649507642327365
als_to_pd,qda,left_swing_s,0.14561034564293496
als_to_pd,qda,right_swing_s,0.018944790450677255
als_to_pd,qda,left_swing_pct,0.21238356534207567
als_to_pd,qda,right_swing_pct,0.3278755305153036
als_to_pd,qda,left_stance_s,0.43082827825831077
als_to_pd,qda,right_stance_s,0.22627462965632927
als_to_pd,qda,double_support_s,0.1354328352818338
als_to_pd,qda,double_support_pct,0.13707791518521778
als_to_pd,qda,asymmetry_index,0.4900500605444041
als_to_pd,qda,cv_stride,0.07774529454686852
als_to_pd,qda,cv_swing,0.3081868663253867
als_to_pd,qda,dfa_alpha_stride,0.3088737108341943
als_to_pd,rf,left_stride_s,0.03178243589333985
als_to_pd,rf,right_stride_s,0.04165251967870317
als_to_pd,rf,left_swing_s,0.41723057103595035
als_to_pd,rf,right_swing_s,0.2545520385574442
als_to_pd,rf,left_swing_pct,0.13414812841253718
als_to_pd,rf,right_swing_pct,0.14410968648648334
als_to_pd,rf,left_stance_s,0.021179001776920888
als_to_pd,rf,right_stance_s,0.1006901851280683
als_to_pd,rf,double_support_s,0.0711873670705982
als_to_pd,rf,double_support_pct,0.038805087283165694
als_to_pd,rf,asymmetry_index,0.47543808517362274
als_to_pd,rf,cv_stride,0.2836001037031624
als_to_pd,rf,cv_swing,0.3449072436522373
als_to_pd,rf,dfa_alpha_stride,0.3682770167742823
als_to_pd,svm,left_stride_s,0.012887214318686691
als_to_pd,svm,right_stride_s,0.01725368681593987
als_to_pd,svm,left_swing_s,0.40527059994642733
als_to_pd,svm,right_swing_s,0.5684732456532052
als_to_pd,svm,left_swing_pct,0.30507233641594345
als_to_pd,svm,right_swing_pct,0.8193125406500863
als_to_pd,svm,left_stance_s,0.11160086523092798
als_to_pd,svm,right_stance_s,0.10334282297299689
als_to_pd,svm,double_support_s,0.014836835427056235
als_to_pd,svm,double_support_pct,0.6016221226837388
als_to_pd,svm,asymmetry_index,1.2700699401381041
als_to_pd,svm,cv_stride,0.04231228336192605
als_to_pd,svm,cv_swing,0.4745446633140146
als_to_pd,svm,dfa_alpha_stride,0.39173719619570513
als_to_pd,xgb,left_stride_s,0.028505463636303897
als_to_pd,xgb,right_stride_s,0.08345465845352247
als_to_pd,xgb,left_swing_s,0.3310555444446644
als_to_pd,xgb,right_swing_s,1.162453143983575
als_to_pd,xgb,left_swing_pct,0.05222731236946361
als_to_pd,xgb,right_swing_pct,0.2930306107730143
als_to_pd,xgb,left_stance_s,0.08636346648321924
als_to_pd,xgb,right_stance_s,0.15614779095541265
als_to_pd,xgb,double_support_s,0.13477964083060573
als_to_pd,xgb,double_support_pct,0.09907288699418555
als_to_pd,xgb,asymmetry_index,0.2669077067037445
als_to_pd,xgb,cv_stride,0.06674009542405557
als_to_pd,xgb,cv_swing,0.20313542385272088
als_to_pd,xgb,dfa_alpha_stride,0.30321090731586897
hd_to_als,dt,left_stride_s,0.0
hd_to_als,dt,right_stride_s,0.0
hd_to_als,dt,left_swing_s,0.0
hd_to_als,dt,right_swing_s,0.0
hd_to_als,dt,left_swing_pct,0.0
hd_to_als,dt,right_swing_pct,0.0
hd_to_als,dt,left_stance_s,0.0
hd_to_als,dt,right_stance_s,0.0
hd_to_als,dt,double_support_s,0.0
hd_to_als,dt,double_support_pct,0.0
hd_to_als,dt,asymmetry_index,0.0
hd_to_als,dt,cv_stride,2.220446049250313e-15
hd_to_als,dt,cv_swing,0.0
hd_to_als,dt,dfa_alpha_stride,0.0
hd_to_als,knn,left_stride_s,1.6894252923776276
hd_to_als,knn,right_stride_s,1.6232662272317333
hd_to_als,knn,left_swing_s,0.45004777938322116
hd_to_als,knn,right_swing_s,0.3762931474459617
hd_to_als,knn,left_swing_pct,0.20323092574264875
hd_to_als,knn,right_swing_pct,0.06883578226224948
hd_to_als,knn,left_stance_s,1.4912847196066856
hd_to_als,knn,right_stance_s,1.2222466605724251
hd_to_als,knn,double_support_s,0.39193407078192277
hd_to_als,knn,double_support_pct,0.25583588745400715
hd_to_als,knn,asymmetry_index,0.49608886006567054
hd_to_als,knn,cv_stride,0.2570026648281261
hd_to_als,knn,cv_swing,0.6109699939044709
hd_to_als,knn,dfa_alpha_stride,0.060031469508499954
hd_to_als,lgbm,left_stride_s,0.0966054368058544
hd_to_als,lgbm,right_stride_s,0.014281858660712014
hd_to_als,lgbm,left_swing_s,0.036521451852361254
hd_to_als,lgbm,right_swing_s,0.02010263048183615
hd_to_als,lgbm,left_swing_pct,0.0
hd_to_als,lgbm,right_swing_pct,0.0
hd_to_als,lgbm,left_stance_s,0.007397890616479113
hd_to_als,lgbm,right_stance_s,0.0
hd_to_als,lgbm,double_support_s,0.0
hd_to_als,lgbm,double_support_pct,0.0
hd_to_als,lgbm,asymmetry_index,0.0
hd_to_als,lgbm,cv_stride,2.4170380980934952e-08
hd_to_als,lgbm,cv_swing,0.0
hd_to_als,lgbm,dfa_alpha_stride,0.0
hd_to_als,qda,left_stride_s,0.8384771888085257
hd_to_als,qda,right_stride_s,0.8951066193834161
hd_to_als,qda,left_swing_s,0.03480063427868345
hd_to_als,qda,right_swing_s,0.037439715079754826
hd_to_als,qda,left_swing_pct,0.06526503192500539
hd_to_als,qda,right_swing_pct,0.06881299667161699
hd_to_als,qda,left_stance_s,0.3422528565517435
hd_to_als,qda,right_stance_s,0.2380449590413689
hd_to_als,qda,double_support_s,0.1177764594185046
hd_to_als,qda,double_support_pct,0.07761967617531892
hd_to_als,qda,asymmetry_index,0.4000303953250141
hd_to_als,qda,cv_stride,0.3771763313784597
hd_to_als,qda,cv_swing,0.3694446001420312
hd_to_als,qda,dfa_alpha_stride,0.2095852066402015
hd_to_als,rf,left_stride_s,0.4835601404277116
hd_to_als,rf,right_stride_s,0.5376266565680525
hd_to_als,rf,left_swing_s,0.017206404883692836
hd_to_als,rf,right_swing_s,0.07800266774399311
hd_to_als,rf,left_swing_pct,0.06903339624694711
hd_to_als,rf,right_swing_pct,0.25004008527017396
hd_to_als,rf,left_stance_s,0.10362601864501267
