direction,classifier,feature,delta_j
als_to_pd,dt,left_stance_s,0.01886098881432191
als_to_pd,dt,right_stance_s,0.00964054195786429
als_to_pd,dt,double_support_s,0.011565579916779936
als_to_pd,dt,double_support_pct,0.0
als_to_pd,dt,asymmetry_index,0.0
als_to_pd,dt,cv_stride,0.0
als_to_pd,dt,cv_swing,0.11015943956736854
als_to_pd,dt,dfa_alpha_stride,0.03590718278680359
als_to_pd,knn,left_stride_s,0.0035135994979008933
als_to_pd,knn,right_stride_s,0.005319795865923731
als_to_pd,knn,left_swing_s,0.0041733739743593755
als_to_pd,knn,right_swing_s,0.003464184983915805
als_to_pd,knn,left_swing_pct,0.0022923391620652545
als_to_pd,knn,right_swing_pct,0.003484470800377181
als_to_pd,knn,left_stance_s,0.0028673473229259908
als_to_pd,knn,right_stance_s,0.003395801909631943
als_to_pd,knn,double_support_s,0.0018468292192809904
als_to_pd,knn,double_support_pct,0.004394475716403858
als_to_pd,knn,asymmetry_index,0.0020484646216973124
als_to_pd,knn,cv_stride,0.0015830099491309785
als_to_pd,knn,cv_swing,0.0021933628905893565
als_to_pd,knn,dfa_alpha_stride,0.005072092288374436
als_to_pd,lgbm,left_stride_s,0.00025506653768566506
als_to_pd,lgbm,right_stride_s,0.00030866231835944766
als_to_pd,lgbm,left_swing_s,3.756732689711985e-06
als_to_pd,lgbm,right_swing_s,6.223204756558456e-05
als_to_pd,lgbm,left_swing_pct,5.5393014574456486e-05
als_to_pd,lgbm,right_swing_pct,0.00027206549245070537
als_to_pd,lgbm,left_stance_s,0.013354628158968776
als_to_pd,lgbm,right_stance_s,0.0012052661641996781
als_to_pd,lgbm,double_support_s,0.003829958450522898
als_to_pd,lgbm,double_support_pct,0.0001563744362237927
als_to_pd,lgbm,asymmetry_index,9.935844283997185e-06
als_to_pd,lgbm,cv_stride,0.007412924123034972
als_to_pd,lgbm,cv_swing,0.003781296642404848
als_to_pd,lgbm,dfa_alpha_stride,0.004324301484135609
als_to_pd,qda,left_stride_s,0.002771578275876473
als_to_pd,qda,right_stride_s,0.008180667494332178
als_to_pd,qda,left_swing_s,0.007248334253537277
als_to_pd,qda,right_swing_s,0.0008449147109124353
als_to_pd,qda,left_swing_pct,0.006926828511794096
als_to_pd,qda,right_swing_pct,0.006679818730938338
als_to_pd,qda,left_stance_s,0.00827099179240239
als_to_pd,qda,right_stance_s,0.006798837662407641
als_to_pd,qda,double_support_s,0.005737503127635692
als_to_pd,qda,double_support_pct,0.010115618495574977
als_to_pd,qda,asymmetry_index,0.004512813448971581
als_to_pd,qda,cv_stride,0.005257507735173805
als_to_pd,qda,cv_swing,0.013194812353782386
als_to_pd,qda,dfa_alpha_stride,0.021818702016712502
als_to_pd,rf,left_stride_s,0.0018431096204338943
als_to_pd,rf,right_stride_s,0.0030466846020249794
als_to_pd,rf,left_swing_s,0.0013157010886531186
als_to_pd,rf,right_swing_s,0.0012604140634798078
als_to_pd,rf,left_swing_pct,0.0009124120503416471
als_to_pd,rf,right_swing_pct,0.0015297550409973312
als_to_pd,rf,left_stance_s,0.001981717915212622
