direction,classifier,feature,delta_j
pd_to_hd,lgbm,right_stance_s,0.0007597269182019212
pd_to_hd,lgbm,double_support_s,0.00016847613969618938
pd_to_hd,lgbm,double_support_pct,0.00023334193812472848
pd_to_hd,lgbm,asymmetry_index,7.432819509460067e-05
pd_to_hd,lgbm,cv_stride,0.016962558733779554
pd_to_hd,lgbm,cv_swing,0.00777831531700441
pd_to_hd,lgbm,dfa_alpha_stride,0.0031604388504974275
pd_to_hd,qda,left_stride_s,0.003353817681705045
pd_to_hd,qda,right_stride_s,0.0033313902841731885
pd_to_hd,qda,left_swing_s,0.002788204404209056
pd_to_hd,qda,right_swing_s,0.0023955912378206753
pd_to_hd,qda,left_swing_pct,0.00028932218604180377
pd_to_hd,qda,right_swing_pct,0.003101980460815036
pd_to_hd,qda,left_stance_s,0.005220607375687882
pd_to_hd,qda,right_stance_s,0.006586819643219107
pd_to_hd,qda,double_support_s,0.005083667031234019
pd_to_hd,qda,double_support_pct,0.0017677810726042277
pd_to_hd,qda,asymmetry_index,0.014005510940852044
pd_to_hd,qda,cv_stride,0.02312184391461186
pd_to_hd,qda,cv_swing,0.006295468403109794
pd_to_hd,qda,dfa_alpha_stride,0.007592589563814214
pd_to_hd,rf,left_stride_s,0.003916545043627652
pd_to_hd,rf,right_stride_s,0.0034918074075742725
pd_to_hd,rf,left_swing_s,0.0007350279937872717
pd_to_hd,rf,right_swing_s,0.0002548277042156138
pd_to_hd,rf,left_swing_pct,0.0002995034486543407
pd_to_hd,rf,right_swing_pct,0.00014597008204375594
pd_to_hd,rf,left_stance_s,0.001531293338171015
pd_to_hd,rf,right_stance_s,0.0050798684907255
pd_to_hd,rf,double_support_s,0.00099758725336525
pd_to_hd,rf,double_support_pct,0.004346925106601209
pd_to_hd,rf,asymmetry_index,0.001074933366196282
pd_to_hd,rf,cv_stride,0.005959629837816283
pd_to_hd,rf,cv_swing,0.0006480779061077968
pd_to_hd,rf,dfa_alpha_stride,0.002140351938998742
pd_to_hd,svm,left_stride_s,0.0012373494957399252
pd_to_hd,svm,right_stride_s,0.001324107428366821
pd_to_hd,svm,left_swing_s,0.00028674936830827314
pd_to_hd,svm,right_swing_s,0.002137408626055909
pd_to_hd,svm,left_swing_pct,0.0002049736441754992
pd_to_hd,svm,right_swing_pct,0.0010302682675722083
pd_to_hd,svm,left_stance_s,0.0029319841912335744
pd_to_hd,svm,right_stance_s,0.004084863260427295
pd_to_hd,svm,double_support_s,0.005498795840187098
pd_to_hd,svm,double_support_pct,0.003758422144848228
pd_to_hd,svm,asymmetry_index,0.008941997643055706
pd_to_hd,svm,cv_stride,0.012899728931853954
pd_to_hd,svm,cv_swing,0.006272626560926073
pd_to_hd,svm,dfa_alpha_stride,0.001954384190195016
pd_to_hd,xgb,left_stride_s,0.0015679814094581787
pd_to_hd,xgb,right_stride_s,0.0032471106984935175
pd_to_hd,xgb,left_swing_s,6.0520200978366975e-05
pd_to_hd,xgb,right_swing_s,1.124734440670084e-05
pd_to_hd,xgb,left_swing_pct,1.3882214202013318e-05
pd_to_hd,xgb,right_swing_pct,8.511476566014126e-05
pd_to_hd,xgb,left_stance_s,0.0005074259436526228
pd_to_hd,xgb,right_stance_s,0.001594372140548958
pd_to_hd,xgb,double_support_s,0.00023679402289422148
pd_to_hd,xgb,double_support_pct,5.465203130037297e-05
pd_to_hd,xgb,asymmetry_index,6.773976196447109e-05
pd_to_hd,xgb,cv_stride,0.014305788467459168
pd_to_hd,xgb,cv_swing,0.006434996816490589
pd_to_hd,xgb,dfa_alpha_stride,0.000421598528568207
