k,silhouette_score,inertia,calinski_harabasz_score,davies_bouldin_score,ari_against_relevant_labels
2,0.48773225269483284,149.32984689951266,7.000490291202691,0.3447124776227367,0.0
3,0.22625766109970902,101.1496318610694,7.894516057160138,1.0221486802498225,0.1414141414141414
4,0.2792516330943319,67.26537877556633,9.320373962206329,0.8493961674250061,0.19058553386911595
5,0.29919179376976923,50.21075290390573,9.518288451657202,0.784509309958419,0.08092485549132948
6,0.27340217136139233,41.734057007422805,8.734638137871881,0.6748629534982896,0.12993039443155452
7,0.19919277141788694,34.81632539074516,8.150645099075136,0.86620928896389,0.12177985948477751
8,0.20672979474232975,27.81585060359479,8.060528496800979,0.7205899273492243,0.20681551116333724
9,0.24383748673602085,20.80025025431895,8.547963551090096,0.5700287999938052,0.1696113074204947
10,0.19895257964500712,14.729676032730712,9.471596591907437,0.5308152090579439,0.1509433962264151
