scope,domain,classifier,rank,feature,drop
cross,pd_to_als,svm,2,double_support_s,0.064944
cross,pd_to_als,svm,3,cv_swing,0.055311
cross,pd_to_als,xgb,1,cv_stride,0.084413
cross,pd_to_als,xgb,2,double_support_s,0.003127
cross,pd_to_als,xgb,3,right_stance_s,0.002263
cross,pd_to_hd,dt,1,cv_stride,0.328972
cross,pd_to_hd,dt,2,right_stride_s,0.010521
cross,pd_to_hd,dt,3,cv_swing,0.0
cross,pd_to_hd,knn,1,cv_stride,0.169476
cross,pd_to_hd,knn,2,cv_swing,0.062292
cross,pd_to_hd,knn,3,dfa_alpha_stride,0.00162
cross,pd_to_hd,lgbm,1,cv_stride,0.298963
cross,pd_to_hd,lgbm,2,right_stride_s,0.003607
cross,pd_to_hd,lgbm,3,cv_swing,-0.0
cross,pd_to_hd,qda,1,cv_stride,0.234525
cross,pd_to_hd,qda,2,cv_swing,0.158716
cross,pd_to_hd,qda,3,dfa_alpha_stride,0.090732
cross,pd_to_hd,rf,1,cv_stride,0.267287
cross,pd_to_hd,rf,2,cv_swing,0.005929
cross,pd_to_hd,rf,3,right_stance_s,0.001722
cross,pd_to_hd,svm,1,cv_stride,0.173856
cross,pd_to_hd,svm,2,cv_swing,0.107888
cross,pd_to_hd,svm,3,asymmetry_index,0.026824
cross,pd_to_hd,xgb,1,cv_stride,0.292296
cross,pd_to_hd,xgb,2,cv_swing,0.001469
cross,pd_to_hd,xgb,3,dfa_alpha_stride,0.000245
within,als,dt,1,double_support_pct,0.000231
within,als,dt,2,asymmetry_index,-0.0
within,als,dt,3,cv_stride,-0.0
within,als,knn,1,asymmetry_index,0.001181
within,als,knn,2,cv_stride,0.0
within,als,knn,3,cv_swing,0.0
within,als,lgbm,1,right_swing_s,0.000228
within,als,lgbm,2,left_swing_pct,0.000228
within,als,lgbm,3,dfa_alpha_stride,0.0
within,als,qda,1,right_swing_s,0.010206
within,als,qda,2,double_support_pct,0.006077
within,als,qda,3,right_swing_pct,0.003655
within,als,rf,1,left_swing_pct,0.000235
within,als,rf,2,asymmetry_index,8e-06
within,als,rf,3,cv_swing,-0.0
within,als,svm,1,asymmetry_index,0.000951
within,als,svm,2,cv_stride,0.0
within,als,svm,3,cv_swing,0.0
within,als,xgb,1,asymmetry_index,0.00023
within,als,xgb,2,cv_stride,-0.0
within,als,xgb,3,cv_swing,-0.0
within,hd,dt,1,asymmetry_index,-0.0
within,hd,dt,2,cv_stride,-0.0
within,hd,dt,3,cv_swing,-0.0
within,hd,knn,1,left_stance_s,0.001194
within,hd,knn,2,right_swing_s,0.000425
within,hd,knn,3,dfa_alpha_stride,0.0
within,hd,lgbm,1,asymmetry_index,-0.0
within,hd,lgbm,2,cv_stride,-0.0
within,hd,lgbm,3,cv_swing,-0.0
within,hd,qda,1,left_swing_pct,0.161169
within,hd,qda,2,double_support_pct,0.142745
within,hd,qda,3,left_swing_s,0.126667
within,hd,rf,1,asymmetry_index,-0.0
within,hd,rf,2,cv_stride,-0.0
within,hd,rf,3,cv_swing,-0.0
within,hd,svm,1,asymmetry_index,0.00049
within,hd,svm,2,double_support_pct,0.000233
within,hd,svm,3,cv_stride,-0.0
within,hd,xgb,1,asymmetry_index,-0.0
within,hd,xgb,2,cv_stride,-0.0
within,hd,xgb,3,cv_swing,-0.0
within,pd,dt,1,asymmetry_index,-0.0
within,pd,dt,2,cv_stride,-0.0
within,pd,dt,3,cv_swing,-0.0
within,pd,knn,1,double_support_s,0.003355
within,pd,knn,2,right_stance_s,0.00198
within,pd,knn,3,double_support_pct,0.00114
within,pd,lgbm,1,asymmetry_index,-0.0
within,pd,lgbm,2,cv_stride,-0.0
within,pd,lgbm,3,cv_swing,-0.0
within,pd,qda,1,left_swing_pct,0.003308
within,pd,qda,2,right_swing_s,0.002601
within,pd,qda,3,right_swing_pct,0.002495
within,pd,rf,1,right_swing_pct,0.000432
within,pd,rf,2,left_swing_pct,0.000408
within,pd,rf,3,double_support_s,0.000384
within,pd,svm,1,double_support_s,0.000657
within,pd,svm,2,double_support_pct,0.000635
within,pd,svm,3,right_swing_pct,0.000635
within,pd,xgb,1,right_stride_s,0.001501
within,pd,xgb,2,left_stride_s,0.000857
within,pd,xgb,3,right_swing_pct,0.000643
