scope,domain,classifier,family,drop
cross,hd_to_pd,lgbm,phase_percentage,0.0
cross,hd_to_pd,lgbm,raw_timing,0.0
cross,hd_to_pd,lgbm,variability,0.2558
cross,hd_to_pd,qda,asymmetry,0.015359
cross,hd_to_pd,qda,fractal,0.050834
cross,hd_to_pd,qda,phase_percentage,0.815363
cross,hd_to_pd,qda,raw_timing,1.513601
cross,hd_to_pd,qda,variability,0.240022
cross,hd_to_pd,rf,asymmetry,0.0
cross,hd_to_pd,rf,fractal,0.0
cross,hd_to_pd,rf,phase_percentage,0.0
cross,hd_to_pd,rf,raw_timing,0.0
cross,hd_to_pd,rf,variability,0.224088
cross,hd_to_pd,svm,asymmetry,0.008186
cross,hd_to_pd,svm,fractal,0.07698
cross,hd_to_pd,svm,phase_percentage,-0.057594
cross,hd_to_pd,svm,raw_timing,-0.095952
cross,hd_to_pd,svm,variability,0.131118
cross,hd_to_pd,xgb,asymmetry,0.0
cross,hd_to_pd,xgb,fractal,0.0
cross,hd_to_pd,xgb,phase_percentage,0.0
cross,hd_to_pd,xgb,raw_timing,0.0
cross,hd_to_pd,xgb,variability,0.25255
cross,pd_to_als,dt,asymmetry,0.0
cross,pd_to_als,dt,fractal,-0.01256
cross,pd_to_als,dt,phase_percentage,0.0
cross,pd_to_als,dt,raw_timing,0.055813
cross,pd_to_als,dt,variability,0.154154
cross,pd_to_als,knn,asymmetry,-0.009338
cross,pd_to_als,knn,fractal,0.035886
cross,pd_to_als,knn,phase_percentage,-0.005107
cross,pd_to_als,knn,raw_timing,-0.160288
cross,pd_to_als,knn,variability,0.122996
cross,pd_to_als,lgbm,asymmetry,0.0
cross,pd_to_als,lgbm,fractal,0.000947
cross,pd_to_als,lgbm,phase_percentage,0.0
cross,pd_to_als,lgbm,raw_timing,0.017949
cross,pd_to_als,lgbm,variability,0.076749
cross,pd_to_als,qda,asymmetry,0.02664
cross,pd_to_als,qda,fractal,0.098217
cross,pd_to_als,qda,phase_percentage,0.030012
cross,pd_to_als,qda,raw_timing,0.459067
cross,pd_to_als,qda,variability,0.283387
cross,pd_to_als,rf,asymmetry,0.0
cross,pd_to_als,rf,fractal,0.000524
cross,pd_to_als,rf,phase_percentage,-0.010286
cross,pd_to_als,rf,raw_timing,0.007994
cross,pd_to_als,rf,variability,0.030188
cross,pd_to_als,svm,asymmetry,0.010576
cross,pd_to_als,svm,fractal,0.053406
cross,pd_to_als,svm,phase_percentage,0.068968
cross,pd_to_als,svm,raw_timing,0.193814
cross,pd_to_als,svm,variability,0.174579
cross,pd_to_als,xgb,asymmetry,0.0
cross,pd_to_als,xgb,fractal,0.002078
cross,pd_to_als,xgb,phase_percentage,0.0
cross,pd_to_als,xgb,raw_timing,-0.032401
cross,pd_to_als,xgb,variability,0.085613
cross,pd_to_hd,dt,asymmetry,0.0
cross,pd_to_hd,dt,fractal,-0.00269
cross,pd_to_hd,dt,phase_percentage,0.0
cross,pd_to_hd,dt,raw_timing,0.010521
cross,pd_to_hd,dt,variability,0.328972
cross,pd_to_hd,knn,asymmetry,-0.008958
cross,pd_to_hd,knn,fractal,0.00162
cross,pd_to_hd,knn,phase_percentage,-0.029385
cross,pd_to_hd,knn,raw_timing,-0.150785
cross,pd_to_hd,knn,variability,0.231768
cross,pd_to_hd,lgbm,asymmetry,0.0
cross,pd_to_hd,lgbm,fractal,0.0
cross,pd_to_hd,lgbm,phase_percentage,0.0
cross,pd_to_hd,lgbm,raw_timing,0.003362
cross,pd_to_hd,lgbm,variability,0.298963
cross,pd_to_hd,qda,asymmetry,0.076865
cross,pd_to_hd,qda,fractal,0.090732
cross,pd_to_hd,qda,phase_percentage,0.023539
cross,pd_to_hd,qda,raw_timing,0.157626
cross,pd_to_hd,qda,variability,0.393241
cross,pd_to_hd,rf,asymmetry,0.0
cross,pd_to_hd,rf,fractal,0.000491
cross,pd_to_hd,rf,phase_percentage,-0.000246
cross,pd_to_hd,rf,raw_timing,-0.001003
cross,pd_to_hd,rf,variability,0.273216
cross,pd_to_hd,svm,asymmetry,0.026824
cross,pd_to_hd,svm,fractal,0.008374
cross,pd_to_hd,svm,phase_percentage,0.00848
cross,pd_to_hd,svm,raw_timing,-0.010049
cross,pd_to_hd,svm,variability,0.281744
cross,pd_to_hd,xgb,asymmetry,0.0
cross,pd_to_hd,xgb,fractal,0.000245
cross,pd_to_hd,xgb,phase_percentage,0.0
cross,pd_to_hd,xgb,raw_timing,-0.003758
cross,pd_to_hd,xgb,variability,0.293765
within,als,dt,asymmetry,0.0
within,als,dt,fractal,0.0
within,als,dt,phase_percentage,0.000231
within,als,dt,raw_timing,-0.015639
within,als,dt,variability,0.0
within,als,knn,asymmetry,0.001181
within,als,knn,fractal,0.0
within,als,knn,phase_percentage,-0.013262
within,als,knn,raw_timing,-0.034589
within,als,knn,variability,0.0
within,als,lgbm,asymmetry,-0.000252
within,als,lgbm,fractal,0.0
within,als,lgbm,phase_percentage,-0.000937
within,als,lgbm,raw_timing,-0.03288
within,als,lgbm,variability,0.0
within,als,qda,asymmetry,-0.000484
within,als,qda,fractal,0.0
within,als,qda,phase_percentage,0.010478
within,als,qda,raw_timing,0.003813
within,als,qda,variability,0.0
within,als,rf,asymmetry,8e-06
within,als,rf,fractal,0.0
within,als,rf,phase_percentage,-0.002846
within,als,rf,raw_timing,-0.055987
within,als,rf,variability,0.0
within,als,svm,asymmetry,0.000951
within,als,svm,fractal,0.0
within,als,svm,phase_percentage,-0.001888
within,als,svm,raw_timing,-0.019925
within,als,svm,variability,0.0
within,als,xgb,asymmetry,0.00023
within,als,xgb,fractal,0.0
within,als,xgb,phase_percentage,-0.001463
within,als,xgb,raw_timing,-0.030532
within,als,xgb,variability,0.0
within,hd,dt,asymmetry,0.0
within,hd,dt,fractal,0.0
within,hd,dt,phase_percentage,0.0
within,hd,dt,raw_timing,0.0
within,hd,dt,variability,0.0
within,hd,knn,asymmetry,-0.002109
within,hd,knn,fractal,0.0
within,hd,knn,phase_percentage,-0.007372
within,hd,knn,raw_timing,-0.011453
within,hd,knn,variability,0.0
within,hd,lgbm,asymmetry,0.0
within,hd,lgbm,fractal,0.0
within,hd,lgbm,phase_percentage,0.0
within,hd,lgbm,raw_timing,0.0
within,hd,lgbm,variability,0.0
within,hd,qda,asymmetry,-0.000671
within,hd,qda,fractal,0.0
within,hd,qda,phase_percentage,0.426303
within,hd,qda,raw_timing,0.332763
within,hd,qda,variability,0.0
within,hd,rf,asymmetry,0.0
within,hd,rf,fractal,0.0
within,hd,rf,phase_percentage,0.0
within,hd,rf,raw_timing,0.0
within,hd,rf,variability,0.0
within,hd,svm,asymmetry,0.00049
within,hd,svm,fractal,0.0
within,hd,svm,phase_percentage,-0.000632
within,hd,svm,raw_timing,-0.009939
within,hd,svm,variability,0.0
within,hd,xgb,asymmetry,0.0
within,hd,xgb,fractal,0.0
within,hd,xgb,phase_percentage,0.0
within,hd,xgb,raw_timing,0.0
within,hd,xgb,variability,0.0
within,pd,dt,asymmetry,0.0
within,pd,dt,fractal,0.0
within,pd,dt,phase_percentage,0.0
within,pd,dt,raw_timing,0.0
within,pd,dt,variability,0.0
within,pd,knn,asymmetry,-0.000655
within,pd,knn,fractal,0.0
within,pd,knn,phase_percentage,-0.001687
within,pd,knn,raw_timing,-0.002208
within,pd,knn,variability,0.0
within,pd,lgbm,asymmetry,0.0
within,pd,lgbm,fractal,0.0
within,pd,lgbm,phase_percentage,0.0
within,pd,lgbm,raw_timing,-0.00108
within,pd,lgbm,variability,0.0
within,pd,qda,asymmetry,-0.002474
within,pd,qda,fractal,0.0
within,pd,qda,phase_percentage,0.008249
within,pd,qda,raw_timing,0.002448
within,pd,qda,variability,0.0
within,pd,rf,asymmetry,0.0
within,pd,rf,fractal,0.0
within,pd,rf,phase_percentage,0.00084
within,pd,rf,raw_timing,-0.007291
within,pd,rf,variability,0.0
within,pd,svm,asymmetry,-0.001986
within,pd,svm,fractal,0.0
within,pd,svm,phase_percentage,-7.3e-05
within,pd,svm,raw_timing,-0.008159
within,pd,svm,variability,0.0
within,pd,xgb,asymmetry,0.0
within,pd,xgb,fractal,0.0
within,pd,xgb,phase_percentage,0.000643
within,pd,xgb,raw_timing,0.003002
within,pd,xgb,variability,0.0
